i,GPS Latitude,GPS Longitude,GPS Altitude
1899,56.8884319,9.8703384,118.194
1910,56.8884319,9.8703384,118.194
1921,56.8883426,9.8703191,119.003
1932,56.8883426,9.8703191,119.003
1942,56.8882612,9.87029,119.461
1953,56.8881873,9.8702341,120.34
1964,56.8881873,9.8702341,120.34
1975,56.888108,9.8701568,120.849
1986,56.888108,9.8701568,120.849
1997,56.8880231,9.8700699,121.461
2007,56.8880231,9.8700699,121.461
2018,56.8879415,9.8699508,122.326
2029,56.8879415,9.8699508,122.326
2040,56.8878583,9.8698059,123.904
2050,56.8877901,9.8696112,125.837
2061,56.8877901,9.8696112,125.837
2072,56.8877415,9.8694027,126.144
2082,56.8877415,9.8694027,126.144
2093,56.8877118,9.8691702,125.909
2104,56.8877118,9.8691702,125.909
2114,56.8877064,9.8689029,125.663
2125,56.8877064,9.8689029,125.663
2135,56.8877356,9.8686448,125.05
2146,56.8878355,9.8683572,124.691
2156,56.8878355,9.8683572,124.691
2167,56.8880132,9.868103,125.815
2177,56.8880132,9.868103,125.815
2188,56.8882225,9.8678614,127.032
2198,56.8882225,9.8678614,127.032
2208,56.8884489,9.867621,127.405
2220,56.8884913,9.8674044,126.977
2231,56.8884913,9.8674044,126.977
2242,56.888428,9.8672922,125.687
2253,56.888428,9.8672922,125.687
2263,56.8883181,9.8672451,126.307
2274,56.8883181,9.8672451,126.307
2284,56.8882117,9.8671878,125.482
2294,56.8882117,9.8671878,125.482
2304,56.8881255,9.8670692,125.796
2314,56.8880299,9.8669169,126.835
2325,56.8880299,9.8669169,126.835
2335,56.8879513,9.8667551,127.198
2345,56.8879513,9.8667551,127.198
2355,56.8878741,9.8665855,127.272
2365,56.8878741,9.8665855,127.272
2376,56.8878097,9.866444,127.728
2386,56.8878097,9.866444,127.728
2396,56.8877451,9.8662996,128.042
2406,56.8876729,9.8661425,128.55
2417,56.8876729,9.8661425,128.55
2427,56.8876041,9.86599,128.147
2437,56.8876041,9.86599,128.147
2448,56.8875373,9.8658445,128.264
2458,56.8875373,9.8658445,128.264
2468,56.88747,9.8656956,127.586
2478,56.88747,9.8656956,127.586
2489,56.8874122,9.8655664,127.584
2499,56.8873498,9.8654282,126.907
2509,56.8873498,9.8654282,126.907
2519,56.88729,9.8652989,126.671
2530,56.88729,9.8652989,126.671
2540,56.8872303,9.8651638,126.737
2550,56.8872303,9.8651638,126.737
2561,56.8871607,9.8650098,127.177
2571,56.8871607,9.8650098,127.177
2582,56.8870955,9.8648626,127.29
2593,56.8870301,9.8647179,126.85
2603,56.8870301,9.8647179,126.85
2613,56.8869611,9.8645677,126.974
2624,56.8869611,9.8645677,126.974
2635,56.8868971,9.8644198,127.552
2646,56.8868971,9.8644198,127.552
2657,56.886823,9.8642583,127.203
2668,56.886823,9.8642583,127.203
2679,56.8867545,9.8641071,126.807
2689,56.886685,9.8639558,127.061
2699,56.886685,9.8639558,127.061
2710,56.8866136,9.8637915,127.544
2719,56.8866136,9.8637915,127.544
2730,56.8865421,9.8636361,128.008
2741,56.8865421,9.8636361,128.008
2752,56.8864676,9.8634732,127.389
2763,56.8864676,9.8634732,127.389
2774,56.8863877,9.8633044,126.379
2785,56.886315,9.8631424,126.155
2795,56.886315,9.8631424,126.155
2806,56.8862463,9.8629904,126.036
2816,56.8862463,9.8629904,126.036
2826,56.8861779,9.8628348,125.164
2837,56.8861779,9.8628348,125.164
2847,56.8861162,9.8626959,125.733
2857,56.8860424,9.8625547,125.702
2868,56.8860424,9.8625547,125.702
2879,56.8860424,9.8625547,125.702
2889,56.8860424,9.8625547,125.702
2900,56.8859,9.8622194,126.658
2911,56.8859,9.8622194,126.658
2921,56.8858348,9.8620495,125.758
2932,56.8858348,9.8620495,125.758
2944,56.8859339,9.8618361,124.699
2957,56.8862634,9.8618597,124.55
2969,56.8862634,9.8618597,124.55
2981,56.886632,9.861955,124.009
2991,56.886632,9.861955,124.009
3003,56.886632,9.861955,124.009
3013,56.886632,9.861955,124.009
3025,56.8872697,9.8620628,124.172
3037,56.8872697,9.8620628,124.172
3048,56.8876018,9.8621128,123.866
3060,56.8879013,9.862154,123.494
3071,56.8879013,9.862154,123.494
3082,56.8881952,9.8621908,122.926
3092,56.8881952,9.8621908,122.926
3098,56.8885038,9.8622316,122.211
3109,56.8885038,9.8622316,122.211
3119,56.8887841,9.8622687,121.842
3129,56.8887841,9.8622687,121.842
3139,56.8890807,9.8623063,121.598
3150,56.8893491,9.8623466,121.652
3160,56.8893491,9.8623466,121.652
3168,56.8896196,9.8623753,121.762
3178,56.8896196,9.8623753,121.762
3188,56.8899196,9.8624071,122.445
3198,56.8899196,9.8624071,122.445
3209,56.8902144,9.8624404,123.517
3214,56.8902144,9.8624404,123.517
3223,56.89052,9.8624886,124.714
3235,56.8908522,9.8627857,124.113
3245,56.8908522,9.8627857,124.113
3257,56.8909458,9.8634145,125.248
3269,56.8909458,9.8634145,125.248
3280,56.8908396,9.863916,127.276
3291,56.8908396,9.863916,127.276
3302,56.890675,9.8643436,129.158
3313,56.890675,9.8643436,129.158
3324,56.8905221,9.864778,129.734
3331,56.8903738,9.8653142,128.926
3343,56.8903738,9.8653142,128.926
3353,56.8902515,9.8658421,128.212
3364,56.8902515,9.8658421,128.212
3375,56.8901333,9.8663582,127.177
3380,56.8901333,9.8663582,127.177
3391,56.8900122,9.8669049,126.225
3402,56.8900122,9.8669049,126.225
3414,56.8899577,9.8674973,124.381
3426,56.890197,9.8681851,122.385
3435,56.890197,9.8681851,122.385
3448,56.8905123,9.8683574,122.653
3460,56.8905123,9.8683574,122.653
3472,56.890704,9.8682988,122.606
3481,56.890704,9.8682988,122.606
3492,56.8908203,9.8681918,123.125
3503,56.8908203,9.8681918,123.125
3514,56.8909025,9.8680631,123.855
3524,56.891004,9.8679135,124.193
3530,56.891004,9.8679135,124.193
3541,56.8912817,9.86784,124.324
3552,56.8912817,9.86784,124.324
3560,56.8916027,9.8678882,125.759
3570,56.8916027,9.8678882,125.759
3579,56.8919118,9.8679247,126.381
3589,56.8922304,9.8679411,127.045
3600,56.8922304,9.8679411,127.045
3610,56.8925379,9.8679587,127.478
3620,56.8925379,9.8679587,127.478
3627,56.8928735,9.8679986,127.052
3638,56.8928735,9.8679986,127.052
3648,56.8931816,9.8680234,128.074
3658,56.8931816,9.8680234,128.074
3668,56.8934933,9.868042,127.589
3674,56.8938219,9.8680696,126.403
3684,56.8938219,9.8680696,126.403
3695,56.8941244,9.8680966,124.811
3705,56.8941244,9.8680966,124.811
3715,56.8944193,9.8681256,123.303
3725,56.8944193,9.8681256,123.303
3736,56.8947324,9.8681478,123.257
3746,56.8947324,9.8681478,123.257
3757,56.8950272,9.8681624,123.535
3767,56.8953193,9.8681833,124.501
3777,56.8953193,9.8681833,124.501
3788,56.8956371,9.8682013,125.068
3797,56.8956371,9.8682013,125.068
3808,56.8959383,9.8682278,125.683
3818,56.8959383,9.8682278,125.683
3828,56.8962625,9.8682536,125.396
3839,56.8962625,9.8682536,125.396
3849,56.8965567,9.8682794,125.988
3859,56.8968514,9.8683137,125.665
3869,56.8968514,9.8683137,125.665
3880,56.8971287,9.8687499,125.167
3891,56.8971287,9.8687499,125.167
3903,56.897096,9.8693443,126.807
3914,56.897096,9.8693443,126.807
3926,56.8969082,9.8695389,127.329
3935,56.8969082,9.8695389,127.329
3945,56.8967512,9.8694912,127.361
3956,56.8966302,9.8694103,126.627
3965,56.8966302,9.8694103,126.627
3976,56.8965136,9.8693127,125.363
3980,56.8965136,9.8693127,125.363
3991,56.8964118,9.8692231,125.752
4001,56.8964118,9.8692231,125.752
4012,56.8963037,9.8691321,126.227
4022,56.8963037,9.8691321,126.227
4032,56.8961789,9.8690413,126.702
4040,56.8960426,9.8690126,125.611
4051,56.8960426,9.8690126,125.611
4061,56.8959326,9.8689102,126.426
4071,56.8959326,9.8689102,126.426
4081,56.8958045,9.8688108,126.986
4092,56.8958045,9.8688108,126.986
4101,56.8956745,9.8687178,128.154
4110,56.8956745,9.8687178,128.154
4121,56.8955363,9.8686175,129.777
4131,56.8953684,9.8685056,130.719
4141,56.8953684,9.8685056,130.719
4151,56.895207,9.8683932,131.4
4161,56.895207,9.8683932,131.4
4171,56.8950526,9.8682872,131.689
4182,56.8950526,9.8682872,131.689
4186,56.8948936,9.868177,131.26
4197,56.8948936,9.868177,131.26
4207,56.8947586,9.8680844,130.249
4218,56.8946226,9.867993,128.778
4228,56.8946226,9.867993,128.778
4235,56.8945029,9.867905,128.695
4245,56.8945029,9.867905,128.695
4256,56.8943861,9.8678208,128.288
4266,56.8943861,9.8678208,128.288
4276,56.8942591,9.8677327,127.224
4285,56.894129,9.8676444,128.731
